Date, Ping, Download Speed, Upload Speed, Telco
16:30,53.245,9.24,10.25,celcom
16:45,44.98,16.57,8.44,celcom
17:00,0,0,0,celcom
17:15,0,0,0,celcom
17:30,0,0,0,celcom
17:45,0,0,0,celcom
18:00,0,0,0,celcom
13:15,0,0,0,celcom
13:30,0,0,0,celcom
13:45,0,0,0,celcom
14:00,0,0,0,celcom
14:15,0,0,0,celcom
14:30,295.105,0.69,0,celcom
14:45,55.506,0,0,celcom
15:00,0,0,0,celcom
15:15,0,0,0,celcom
15:30,0,0,0,celcom
15:45,0,0,0,celcom
16:00,600104.269,0,0,celcom
16:15,182.269,0.71,1.47,celcom
16:30,56.382,0.65,0,celcom
16:45,46.323,0.56,0,celcom
17:00,0,0,0,celcom
17:15,45.35,0.18,0,celcom
17:30,53.732,0.53,0,celcom
17:45,30.293,6.35,6.02,celcom
18:00,29.619,26.62,7.39,celcom
